number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
82,0.6517103391897339,2026-07-30 12:05:59.240184,2026-07-30 12:05:59.886691,0 days 00:00:00.646507,0.7758770334963179,0.7839480507443131,0.29763613039692555,5,4,170,0.9279881176484381,COMPLETE
83,0.6945015774585191,2026-07-30 12:05:59.888166,2026-07-30 12:06:00.555387,0 days 00:00:00.667221,0.654999242537602,0.13771513998865337,0.03502977346264359,6,5,142,0.9592597434199324,COMPLETE
84,0.6859999553420869,2026-07-30 12:06:00.556879,2026-07-30 12:06:02.000848,0 days 00:00:01.443969,0.6995316886798312,1.7858177907670338,0.04926249206917339,5,2,499,0.9419343054045208,COMPLETE
85,0.6972000681398004,2026-07-30 12:06:02.002334,2026-07-30 12:06:02.619051,0 days 00:00:00.616717,0.6772482077265893,1.286682303348182,0.04369144439491391,7,6,100,0.9897021747192172,COMPLETE
86,0.6915142891526884,2026-07-30 12:06:02.620514,2026-07-30 12:06:03.256906,0 days 00:00:00.636392,0.6812398900437544,1.318186029227061,0.061079718024644604,7,6,112,0.9887013608697927,COMPLETE
87,0.6926887633347426,2026-07-30 12:06:03.258378,2026-07-30 12:06:04.332805,0 days 00:00:01.074427,0.6199212070413582,1.530322353466179,0.025128541153491384,8,7,150,0.9764898722980493,COMPLETE
88,0.6949606941709853,2026-07-30 12:06:04.334338,2026-07-30 12:06:05.135704,0 days 00:00:00.801366,0.665297580625282,2.2618381496452225,0.027957957412203544,7,5,122,0.968529792354474,COMPLETE
89,0.6935276818741475,2026-07-30 12:06:05.137312,2026-07-30 12:06:07.740478,0 days 00:00:02.603166,0.6916717615615362,1.668403592126925,0.013093549110235681,8,6,415,0.9212728904505162,COMPLETE
90,0.6889590980620491,2026-07-30 12:06:07.741963,2026-07-30 12:06:08.263748,0 days 00:00:00.521785,0.6454555104947273,0.6273816342233489,0.015996589011806922,4,7,137,0.991254215191067,COMPLETE
91,0.6970412501782899,2026-07-30 12:06:08.265239,2026-07-30 12:06:08.752323,0 days 00:00:00.487084,0.718252872152369,0.9979772283494974,0.045022833463016054,5,5,128,0.9570182487819121,COMPLETE
92,0.6940399105934806,2026-07-30 12:06:08.753805,2026-07-30 12:06:09.192122,0 days 00:00:00.438317,0.7242395341200105,0.9811778129119167,0.04615676534571462,5,5,109,0.975581289987353,COMPLETE
93,0.6922948152152415,2026-07-30 12:06:09.193594,2026-07-30 12:06:10.062708,0 days 00:00:00.869114,0.8387730424284827,0.8370801958811529,0.038453471997806354,7,4,129,0.9616760328171159,COMPLETE
94,0.6964128267719951,2026-07-30 12:06:10.064264,2026-07-30 12:06:10.631015,0 days 00:00:00.566751,0.7075524380500623,1.1369569119300431,0.05061586604008967,6,6,121,0.9416704240812201,COMPLETE
95,0.696365804382296,2026-07-30 12:06:10.632497,2026-07-30 12:06:11.133759,0 days 00:00:00.501262,0.7204070739279845,1.48381951423552,0.03425776360886531,4,5,169,0.9978611031546516,COMPLETE
96,0.6954803821085813,2026-07-30 12:06:11.135274,2026-07-30 12:06:11.686640,0 days 00:00:00.551366,0.6828178096772399,1.3293089124573902,0.029528563179170946,5,5,151,0.9817980003707459,COMPLETE
97,0.6954298502110867,2026-07-30 12:06:11.688109,2026-07-30 12:06:12.202397,0 days 00:00:00.514288,0.6953712417368153,1.8517693225720486,0.04046532238161691,6,6,108,0.9104584524219834,COMPLETE
98,0.6970709625737369,2026-07-30 12:06:12.203866,2026-07-30 12:06:12.711031,0 days 00:00:00.507165,0.6751209417989131,1.6017222156000308,0.03701693283406046,5,9,135,0.9567247639547897,COMPLETE
99,0.6923660469142532,2026-07-30 12:06:12.712671,2026-07-30 12:06:13.138673,0 days 00:00:00.426002,0.6773577737774651,1.6194166789168463,0.01976086012413341,4,10,135,0.8554564670285085,COMPLETE
